                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7485,                 2.6272,                 1.8827,                0.69197,                0.47706,                0.53702,                0.20075,                 1.9826,                 2.3282,                 2.1599,             0.00047171,             0.00047171,             0.00047171
                      2,                 1.7169,                 1.8932,                 1.8179,                 0.6494,                0.64993,                0.65231,                0.29678,                 1.8213,                  1.839,                 2.1355,             0.00094178,             0.00094178,             0.00094178
                      3,                 1.7355,                 1.7993,                 1.8253,                0.60479,                0.53474,                0.57844,                0.25172,                 1.8729,                 2.1151,                 2.1548,              0.0014056,              0.0014056,              0.0014056
                      4,                 1.7384,                  1.686,                 1.8328,                0.54732,                0.55803,                 0.5836,                 0.2503,                 1.9942,                 1.9608,                  2.177,              0.0014007,              0.0014007,              0.0014007
                      5,                 1.6995,                 1.5654,                 1.7915,                0.65577,                0.67327,                0.69153,                0.33187,                 1.8319,                  1.418,                 2.0479,              0.0013913,              0.0013913,              0.0013913
                      6,                 1.6811,                 1.4888,                 1.7702,                0.56723,                0.65798,                0.62756,                0.26758,                 2.0192,                 1.5261,                 2.2471,              0.0013818,              0.0013818,              0.0013818
                      7,                 1.6636,                 1.4412,                 1.7639,                0.66799,                0.66078,                0.68262,                0.31756,                 1.8673,                 1.5793,                 2.0874,              0.0013724,              0.0013724,              0.0013724
                      8,                 1.6392,                 1.4016,                 1.7352,                0.77074,                0.74097,                0.79378,                 0.3862,                 1.7613,                 1.1584,                   1.95,               0.001363,               0.001363,               0.001363
                      9,                 1.6321,                 1.3555,                 1.7304,                0.74509,                0.76158,                0.79463,                0.39122,                 1.7215,                 1.1731,                 1.9361,              0.0013535,              0.0013535,              0.0013535
                     10,                 1.6145,                 1.3161,                 1.7125,                0.76736,                0.76157,                0.81128,                0.40344,                 1.7294,                 1.1076,                 1.9426,              0.0013441,              0.0013441,              0.0013441
                     11,                   1.58,                 1.2795,                 1.6849,                0.80042,                0.77248,                0.83758,                0.39293,                 1.8036,                 1.0694,                 1.9564,              0.0013347,              0.0013347,              0.0013347
                     12,                 1.5645,                 1.2527,                 1.6758,                0.78486,                0.79186,                0.83026,                0.40986,                 1.7179,                 1.0667,                 1.9191,              0.0013253,              0.0013253,              0.0013253
                     13,                 1.5647,                 1.2242,                 1.6651,                0.82103,                 0.8005,                 0.8665,                0.44817,                 1.6534,                 1.0036,                 1.8661,              0.0013158,              0.0013158,              0.0013158
                     14,                 1.5374,                 1.1994,                 1.6453,                0.77453,                0.79836,                0.81523,                 0.4049,                 1.7454,                 1.0515,                 1.9704,              0.0013064,              0.0013064,              0.0013064
                     15,                 1.5486,                 1.1847,                 1.6568,                0.75627,                0.81892,                0.85244,                0.41276,                 1.6833,                 1.0812,                 1.9048,               0.001297,               0.001297,               0.001297
                     16,                 1.5365,                 1.1858,                 1.6455,                0.79024,                0.83779,                0.88572,                0.46427,                  1.643,                0.93413,                 1.8416,              0.0012875,              0.0012875,              0.0012875
                     17,                 1.5183,                 1.1638,                 1.6393,                0.80201,                0.81471,                0.86427,                0.46522,                 1.6069,                0.91451,                 1.8303,              0.0012781,              0.0012781,              0.0012781
                     18,                 1.4964,                 1.1126,                 1.6165,                0.77829,                0.80375,                0.84386,                0.42755,                 1.6825,                 1.0108,                 1.9043,              0.0012687,              0.0012687,              0.0012687
                     19,                  1.499,                 1.1075,                 1.6205,                0.82431,                0.83648,                0.87483,                0.46481,                 1.6091,                0.90191,                 1.8198,              0.0012592,              0.0012592,              0.0012592
                     20,                 1.4793,                 1.1096,                 1.6181,                0.79441,                 0.8192,                0.85089,                0.41132,                 1.7642,                 1.0239,                 1.9616,              0.0012498,              0.0012498,              0.0012498
                     21,                 1.4593,                 1.0677,                 1.5875,                0.80446,                0.85973,                 0.8884,                0.48289,                 1.5611,                0.87414,                 1.7749,              0.0012404,              0.0012404,              0.0012404
                     22,                 1.4743,                 1.0919,                 1.5911,                0.86698,                0.80127,                0.87626,                0.46732,                 1.6037,                0.93447,                 1.8104,              0.0012309,              0.0012309,              0.0012309
                     23,                 1.4464,                 1.0642,                 1.5823,                0.84533,                0.83803,                0.88745,                0.47108,                 1.5898,                0.91414,                 1.7957,              0.0012215,              0.0012215,              0.0012215
                     24,                 1.4812,                 1.0816,                 1.6006,                0.79067,                0.79953,                0.84734,                0.41975,                 1.7333,                0.96008,                  1.964,              0.0012121,              0.0012121,              0.0012121
                     25,                 1.4478,                 1.0522,                 1.5771,                0.82471,                0.85212,                0.89309,                0.48754,                 1.5244,                0.86508,                 1.7539,              0.0012026,              0.0012026,              0.0012026
                     26,                 1.4433,                 1.0368,                 1.5824,                 0.8414,                0.81694,                0.87878,                0.46517,                 1.5811,                0.92095,                 1.8232,              0.0011932,              0.0011932,              0.0011932
                     27,                 1.4346,                 1.0292,                 1.5711,                0.83245,                0.87078,                 0.8942,                0.48089,                 1.5607,                 0.8537,                 1.7637,              0.0011838,              0.0011838,              0.0011838
                     28,                 1.4295,                 1.0225,                 1.5684,                0.85731,                0.84447,                0.89781,                 0.4948,                 1.5416,                0.84892,                 1.7413,              0.0011744,              0.0011744,              0.0011744
                     29,                  1.388,                0.98087,                 1.5404,                0.83884,                0.85626,                0.89982,                0.49892,                 1.5223,                0.83795,                 1.7439,              0.0011649,              0.0011649,              0.0011649
                     30,                  1.409,                 1.0075,                 1.5455,                0.87061,                0.85167,                0.90951,                0.49361,                 1.5283,                0.84634,                 1.7663,              0.0011555,              0.0011555,              0.0011555
                     31,                    1.4,                 1.0036,                 1.5317,                0.87641,                0.85622,                0.90148,                0.48636,                 1.5472,                 0.8507,                 1.7624,              0.0011461,              0.0011461,              0.0011461
                     32,                 1.3832,                0.97229,                 1.5333,                 0.8641,                0.85082,                0.90682,                0.48129,                 1.5919,                0.83531,                 1.8276,              0.0011366,              0.0011366,              0.0011366
                     33,                 1.3593,                 0.9689,                 1.5178,                0.86806,                0.88463,                0.91917,                0.51841,                  1.496,                0.77836,                 1.7103,              0.0011272,              0.0011272,              0.0011272
                     34,                 1.3815,                0.94938,                 1.5357,                0.89188,                0.86647,                0.91671,                0.50974,                 1.5211,                0.76549,                 1.7538,              0.0011178,              0.0011178,              0.0011178
                     35,                 1.3715,                0.95352,                 1.5121,                0.88998,                 0.8967,                 0.9285,                0.52895,                 1.4461,                0.77698,                 1.6763,              0.0011083,              0.0011083,              0.0011083
                     36,                 1.3379,                0.94104,                 1.5016,                0.88761,                0.88733,                 0.9284,                0.51808,                 1.5031,                0.76662,                 1.7399,              0.0010989,              0.0010989,              0.0010989
                     37,                 1.3507,                0.95082,                 1.5072,                0.88065,                0.88446,                0.92228,                0.52377,                 1.4931,                0.77803,                  1.714,              0.0010895,              0.0010895,              0.0010895
                     38,                 1.3321,                0.91501,                 1.5091,                0.88232,                0.88266,                0.92843,                0.53394,                 1.4654,                0.74261,                  1.713,                0.00108,                0.00108,                0.00108
                     39,                 1.3299,                0.92298,                  1.488,                0.90625,                0.87185,                0.92345,                0.52978,                 1.4674,                0.74349,                 1.6934,              0.0010706,              0.0010706,              0.0010706
                     40,                 1.3283,                0.91104,                 1.4969,                0.89675,                0.87289,                0.92809,                0.52582,                 1.4996,                0.76073,                  1.738,              0.0010612,              0.0010612,              0.0010612
                     41,                 1.3284,                0.91156,                  1.493,                0.90789,                0.88315,                0.93334,                0.52574,                 1.4889,                0.75362,                 1.7189,              0.0010517,              0.0010517,              0.0010517
                     42,                 1.3367,                0.91417,                  1.488,                0.91201,                0.89763,                 0.9388,                0.54497,                 1.4458,                0.71457,                 1.6848,              0.0010423,              0.0010423,              0.0010423
                     43,                 1.2914,                0.87942,                 1.4577,                0.91047,                0.89948,                 0.9357,                0.54956,                 1.4049,                0.71933,                 1.6494,              0.0010329,              0.0010329,              0.0010329
                     44,                 1.3088,                0.87275,                 1.4774,                0.92841,                0.89403,                0.93791,                0.54148,                 1.4306,                0.72599,                 1.6787,              0.0010234,              0.0010234,              0.0010234
                     45,                 1.2858,                0.87341,                 1.4555,                0.91915,                0.91656,                0.94455,                 0.5478,                 1.4386,                0.72628,                 1.6691,               0.001014,               0.001014,               0.001014
                     46,                 1.2839,                0.87014,                 1.4603,                0.90676,                0.88075,                0.92994,                0.54217,                 1.4224,                0.73011,                 1.6641,              0.0010046,              0.0010046,              0.0010046
                     47,                 1.2859,                0.87132,                 1.4589,                 0.8914,                0.91535,                0.93894,                0.55686,                 1.4183,                0.70851,                 1.6567,             0.00099516,             0.00099516,             0.00099516
                     48,                 1.2785,                0.86926,                 1.4566,                0.89552,                0.88495,                 0.9268,                0.54737,                 1.4095,                0.70982,                 1.6492,             0.00098572,             0.00098572,             0.00098572
                     49,                 1.2947,                0.88138,                 1.4683,                0.90016,                0.89603,                0.93341,                0.53095,                 1.4491,                0.72589,                 1.6846,             0.00097629,             0.00097629,             0.00097629
                     50,                 1.2709,                0.84938,                 1.4407,                0.91423,                0.87794,                0.92968,                0.55105,                 1.4048,                0.69411,                 1.6493,             0.00096686,             0.00096686,             0.00096686
                     51,                 1.2602,                0.85786,                 1.4474,                0.91609,                0.85935,                0.93244,                 0.5425,                 1.4231,                 0.7199,                 1.6591,             0.00095743,             0.00095743,             0.00095743
                     52,                 1.2533,                0.84527,                 1.4257,                0.89133,                0.90859,                0.94674,                0.54062,                 1.4595,                0.70451,                 1.6917,               0.000948,               0.000948,               0.000948
                     53,                 1.2256,                0.81316,                 1.4169,                0.92895,                0.90014,                0.95004,                0.57657,                 1.3662,                0.67512,                 1.6029,             0.00093857,             0.00093857,             0.00093857
                     54,                 1.2428,                0.82043,                 1.4334,                0.93124,                0.90251,                 0.9485,                0.57322,                 1.3769,                0.67073,                  1.622,             0.00092914,             0.00092914,             0.00092914
                     55,                 1.2308,                0.82899,                 1.4149,                0.91551,                0.90374,                0.94532,                0.56234,                  1.387,                0.68028,                 1.6385,              0.0009197,              0.0009197,              0.0009197
                     56,                  1.241,                0.83329,                 1.4129,                0.92716,                0.90346,                0.94356,                0.55163,                 1.4054,                0.68969,                 1.6401,             0.00091027,             0.00091027,             0.00091027
                     57,                  1.231,                0.80828,                 1.4189,                0.90697,                0.90002,                0.93528,                 0.5571,                 1.3848,                0.69422,                  1.619,             0.00090084,             0.00090084,             0.00090084
                     58,                 1.2229,                0.81655,                 1.4134,                0.93384,                0.89913,                0.94541,                0.55819,                 1.4189,                0.67965,                 1.6543,             0.00089141,             0.00089141,             0.00089141
                     59,                 1.2187,                0.81553,                 1.4133,                0.93977,                0.90947,                0.95534,                0.57324,                 1.3844,                0.66131,                 1.6209,             0.00088198,             0.00088198,             0.00088198
                     60,                 1.1958,                0.79827,                 1.3998,                0.93531,                0.90781,                0.95197,                0.57525,                 1.3631,                0.66726,                 1.6135,             0.00087255,             0.00087255,             0.00087255
                     61,                 1.1943,                 0.7954,                 1.3832,                0.93153,                0.90572,                0.95247,                0.57574,                 1.3587,                 0.6481,                 1.6055,             0.00086312,             0.00086312,             0.00086312
                     62,                 1.2014,                0.79956,                 1.3818,                 0.9323,                0.91038,                0.95411,                0.57707,                 1.3649,                0.63871,                 1.6082,             0.00085368,             0.00085368,             0.00085368
                     63,                 1.2082,                0.79924,                 1.4032,                0.90666,                0.92415,                0.94433,                0.58472,                 1.3166,                0.63041,                 1.5688,             0.00084425,             0.00084425,             0.00084425
                     64,                 1.1839,                0.77794,                 1.3758,                0.92242,                0.92507,                0.95898,                0.58277,                 1.3303,                0.61951,                 1.5854,             0.00083482,             0.00083482,             0.00083482
                     65,                 1.1868,                0.78775,                  1.385,                0.93943,                0.90631,                0.95162,                0.58334,                 1.3287,                0.63651,                 1.5783,             0.00082539,             0.00082539,             0.00082539
                     66,                  1.183,                0.78139,                 1.3785,                 0.9329,                0.91618,                0.95262,                0.56419,                 1.3866,                0.65167,                 1.6244,             0.00081596,             0.00081596,             0.00081596
                     67,                 1.1546,                0.76666,                 1.3638,                0.92393,                0.89794,                0.94695,                0.57664,                 1.3508,                 0.6537,                 1.5871,             0.00080653,             0.00080653,             0.00080653
                     68,                 1.1868,                0.78453,                 1.3821,                0.93443,                0.91804,                0.94893,                0.58666,                 1.3238,                 0.6296,                 1.5806,              0.0007971,              0.0007971,              0.0007971
                     69,                 1.1644,                0.76735,                  1.371,                0.93226,                0.91426,                 0.9518,                0.58752,                 1.3116,                0.62876,                 1.5719,             0.00078766,             0.00078766,             0.00078766
                     70,                 1.1568,                0.76613,                 1.3621,                0.94118,                0.91455,                 0.9588,                0.59271,                 1.3207,                0.61891,                 1.5808,             0.00077823,             0.00077823,             0.00077823
                     71,                 1.1433,                0.75053,                 1.3652,                0.94441,                0.93144,                0.95844,                0.59796,                 1.3039,                0.61564,                 1.5678,              0.0007688,              0.0007688,              0.0007688
                     72,                 1.1375,                0.74214,                 1.3541,                0.93037,                 0.9294,                0.95559,                0.58732,                 1.3369,                0.61353,                 1.5807,             0.00075937,             0.00075937,             0.00075937
                     73,                 1.1387,                 0.7397,                 1.3599,                0.93305,                0.92029,                0.95759,                0.59762,                 1.3133,                0.61893,                 1.5764,             0.00074994,             0.00074994,             0.00074994
                     74,                 1.1433,                0.73957,                 1.3521,                0.93865,                0.93027,                 0.9559,                0.59344,                 1.3035,                0.59668,                 1.5606,             0.00074051,             0.00074051,             0.00074051
                     75,                 1.1318,                0.73857,                 1.3491,                0.94548,                0.92121,                0.96252,                0.60135,                 1.3036,                0.60539,                  1.561,             0.00073108,             0.00073108,             0.00073108
                     76,                 1.1282,                 0.7288,                 1.3451,                0.94431,                0.92858,                0.96012,                0.60647,                 1.2954,                0.59731,                 1.5531,             0.00072164,             0.00072164,             0.00072164
                     77,                 1.1204,                0.73198,                 1.3383,                0.94262,                0.91495,                0.95632,                0.60192,                 1.2738,                 0.6186,                 1.5388,             0.00071221,             0.00071221,             0.00071221
                     78,                 1.1111,                0.71836,                  1.336,                0.93865,                0.93249,                0.96359,                0.60617,                 1.2813,                0.59641,                 1.5499,             0.00070278,             0.00070278,             0.00070278
                     79,                 1.1121,                0.72203,                 1.3328,                0.95483,                0.92659,                0.96449,                0.60038,                 1.3017,                0.59663,                  1.552,             0.00069335,             0.00069335,             0.00069335
                     80,                 1.0939,                0.72283,                 1.3287,                 0.9496,                0.91913,                0.95909,                0.61226,                 1.2648,                0.58753,                 1.5276,             0.00068392,             0.00068392,             0.00068392
                     81,                 1.0795,                0.70105,                 1.3161,                0.94074,                 0.9315,                0.96035,                0.61097,                 1.2712,                0.58384,                 1.5283,             0.00067449,             0.00067449,             0.00067449
                     82,                 1.0949,                0.71177,                 1.3249,                 0.9556,                0.92686,                0.96457,                0.61884,                 1.2408,                 0.5824,                 1.5017,             0.00066506,             0.00066506,             0.00066506
                     83,                 1.0781,                0.70569,                 1.3205,                0.94792,                0.92998,                0.96274,                0.59945,                  1.295,                0.57936,                 1.5603,             0.00065563,             0.00065563,             0.00065563
                     84,                 1.0945,                0.70791,                 1.3219,                0.95507,                0.93624,                0.96756,                  0.614,                 1.2624,                0.57362,                 1.5231,             0.00064619,             0.00064619,             0.00064619
                     85,                 1.0937,                0.70382,                 1.3186,                0.96062,                0.93946,                0.96969,                0.61925,                 1.2525,                0.56769,                 1.5223,             0.00063676,             0.00063676,             0.00063676
                     86,                 1.0856,                0.71867,                 1.3223,                0.94504,                0.94279,                0.97039,                0.62516,                  1.235,                0.56229,                  1.513,             0.00062733,             0.00062733,             0.00062733
                     87,                 1.0719,                0.69535,                 1.3215,                0.94829,                0.93401,                0.96907,                0.62273,                 1.2395,                 0.5597,                 1.5079,              0.0006179,              0.0006179,              0.0006179
                     88,                 1.0603,                0.67441,                 1.2984,                0.95213,                0.94272,                0.96912,                0.62969,                 1.2273,                0.55811,                 1.4981,             0.00060847,             0.00060847,             0.00060847
                     89,                 1.0601,                0.68545,                 1.3106,                  0.957,                0.93204,                0.96818,                0.62377,                  1.233,                0.55991,                  1.503,             0.00059904,             0.00059904,             0.00059904
                     90,                 1.0547,                0.68222,                 1.2988,                0.95097,                0.93799,                0.96614,                0.63289,                 1.1993,                0.54478,                 1.4758,             0.00058961,             0.00058961,             0.00058961
                     91,                 1.0465,                0.68459,                 1.2856,                0.95912,                0.93626,                0.97038,                  0.637,                 1.2011,                0.53763,                  1.479,             0.00058017,             0.00058017,             0.00058017
                     92,                 1.0332,                0.66864,                 1.2827,                 0.9654,                0.93385,                0.97341,                0.62699,                 1.2151,                0.54686,                 1.4806,             0.00057074,             0.00057074,             0.00057074
                     93,                 1.0448,                0.67271,                 1.2897,                0.96079,                0.94869,                0.97416,                0.63252,                 1.2074,                0.53967,                 1.4839,             0.00056131,             0.00056131,             0.00056131
                     94,                 1.0317,                 0.6611,                 1.2853,                0.94789,                 0.9386,                 0.9681,                0.62776,                 1.2417,                0.55007,                 1.5107,             0.00055188,             0.00055188,             0.00055188
                     95,                 1.0402,                0.65905,                 1.2818,                 0.9586,                0.93511,                0.96731,                0.63496,                 1.2123,                0.54011,                 1.4756,             0.00054245,             0.00054245,             0.00054245
                     96,                 1.0455,                0.66746,                 1.2897,                0.96124,                0.94362,                0.97507,                0.64571,                 1.1683,                0.52973,                 1.4461,             0.00053302,             0.00053302,             0.00053302
                     97,                 1.0263,                0.65768,                 1.2769,                0.95439,                0.94928,                0.97288,                0.64428,                 1.1797,                0.53678,                 1.4546,             0.00052359,             0.00052359,             0.00052359
                     98,                 1.0203,                0.67237,                 1.2743,                  0.964,                0.94688,                0.97497,                0.63951,                 1.1935,                0.52738,                 1.4761,             0.00051415,             0.00051415,             0.00051415
                     99,                 1.0124,                0.65896,                 1.2733,                0.95315,                 0.9374,                0.96827,                0.63654,                  1.197,                0.54046,                 1.4749,             0.00050472,             0.00050472,             0.00050472
                    100,                 1.0171,                0.65593,                  1.267,                0.95829,                0.93615,                0.96762,                0.63828,                 1.1789,                0.52619,                 1.4612,             0.00049529,             0.00049529,             0.00049529
                    101,                 1.0129,                0.64421,                  1.264,                0.95403,                0.94547,                0.97167,                0.64936,                 1.1707,                0.52258,                  1.449,             0.00048586,             0.00048586,             0.00048586
                    102,                 1.0085,                0.64436,                 1.2658,                 0.9488,                0.94215,                 0.9705,                0.65143,                 1.1582,                0.52033,                 1.4472,             0.00047643,             0.00047643,             0.00047643
                    103,                0.98908,                 0.6458,                 1.2534,                0.95871,                0.93717,                0.97655,                0.65086,                 1.1601,                0.52342,                 1.4494,               0.000467,               0.000467,               0.000467
                    104,                0.99477,                0.64503,                 1.2569,                0.95244,                0.94177,                0.96776,                 0.6459,                 1.1793,                0.52343,                 1.4574,             0.00045757,             0.00045757,             0.00045757
                    105,                0.97826,                0.62498,                 1.2449,                0.96227,                0.93412,                  0.973,                0.65247,                   1.15,                0.51688,                  1.431,             0.00044813,             0.00044813,             0.00044813
                    106,                0.99036,                0.63397,                 1.2536,                0.96467,                0.94712,                0.97407,                0.65527,                 1.1433,                0.51848,                 1.4266,              0.0004387,              0.0004387,              0.0004387
                    107,                 1.0018,                 0.6339,                 1.2535,                0.95826,                0.94859,                0.97333,                0.65724,                 1.1445,                0.51161,                 1.4272,             0.00042927,             0.00042927,             0.00042927
                    108,                0.98577,                0.63001,                 1.2495,                0.95784,                0.94533,                0.97442,                0.66566,                 1.1275,                0.51519,                  1.415,             0.00041984,             0.00041984,             0.00041984
                    109,                0.98037,                0.62817,                 1.2471,                0.96743,                0.94593,                0.97526,                0.65328,                 1.1507,                0.50824,                 1.4247,             0.00041041,             0.00041041,             0.00041041
                    110,                0.98845,                0.62908,                 1.2472,                0.96503,                0.94129,                0.97473,                0.65118,                 1.1563,                0.50985,                 1.4349,             0.00040098,             0.00040098,             0.00040098
                    111,                0.96661,                0.62071,                 1.2291,                0.97252,                0.94336,                0.97621,                0.66636,                 1.1369,                0.49897,                 1.4237,             0.00039155,             0.00039155,             0.00039155
                    112,                0.97381,                0.62763,                 1.2347,                0.96587,                 0.9436,                0.97566,                0.66597,                 1.1257,                0.49521,                 1.4157,             0.00038211,             0.00038211,             0.00038211
                    113,                0.96584,                0.62065,                 1.2337,                0.96791,                0.93806,                0.97381,                0.66371,                 1.1343,                0.50072,                 1.4229,             0.00037268,             0.00037268,             0.00037268
                    114,                0.96428,                0.62318,                 1.2347,                0.96926,                0.94013,                0.97514,                 0.6654,                 1.1353,                 0.4994,                 1.4135,             0.00036325,             0.00036325,             0.00036325
                    115,                0.95248,                0.60447,                 1.2243,                 0.9681,                0.94888,                 0.9764,                 0.6641,                 1.1232,                 0.4938,                 1.4099,             0.00035382,             0.00035382,             0.00035382
